route_id,trip_id,direction_id,shape_id,service_id
r0,t#r0#weekday_peak_1#07:00:00#1#19,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#20,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#21,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#22,1,shp1,srv1111100
r0,t#r0#weekday_peak_1#07:00:00#1#23,1,shp1,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#0,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#1,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#2,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#3,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#4,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#5,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#6,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#7,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#8,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#9,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#10,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#0#11,0,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#0,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#1,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#2,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#3,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#4,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#5,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#6,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#7,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#8,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#9,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#10,1,shp2,srv1111100
r1,t#r1#weekday_peak_1#07:00:00#1#11,1,shp2,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#0,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#1,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#2,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#3,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#4,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#5,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#6,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#7,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#8,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#9,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#10,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#11,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#12,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#13,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#14,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#15,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#16,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#17,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#18,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#19,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#20,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#21,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#22,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#0#23,0,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#0,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#1,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#2,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#3,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#4,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#5,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#6,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#7,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#8,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#9,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#10,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#11,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#12,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#13,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#14,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#15,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#16,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#17,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#18,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#19,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#20,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#21,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#22,1,shp1,srv1111100
r0,t#r0#weekday_peak_2#15:00:00#1#23,1,shp1,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#0#0,0,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#0#1,0,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#0#2,0,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#0#3,0,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#0#4,0,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#0#5,0,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#0#6,0,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#0#7,0,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#1#0,1,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#1#1,1,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#1#2,1,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#1#3,1,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#1#4,1,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#1#5,1,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#1#6,1,shp2,srv1111100
r1,t#r1#weekday_peak_2#15:00:00#1#7,1,shp2,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#0,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#1,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#2,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#3,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#4,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#5,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#6,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#7,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#8,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#9,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#10,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#11,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#12,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#13,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#14,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#15,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#16,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#17,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#18,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#19,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#20,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#21,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#22,0,shp1,srv1111100
r0,t#r0#weekday_offpeak#09:00:00#0#23,0,shp1,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#0,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#1,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#2,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#3,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#4,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#5,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#6,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#7,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#8,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#9,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#10,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#0#11,0,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#0,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#1,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#2,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#3,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#4,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#5,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#6,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#7,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#8,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#9,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#10,1,shp2,srv1111100
r1,t#r1#weekday_offpeak#09:00:00#1#11,1,shp2,srv1111100
r0,t#r0#saturday#09:00:00#0#0,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#1,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#2,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#3,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#4,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#5,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#6,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#7,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#8,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#9,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#10,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#11,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#12,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#13,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#14,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#15,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#16,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#17,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#18,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#19,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#20,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#21,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#22,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#23,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#24,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#25,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#26,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#27,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#28,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#29,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#30,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#31,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#32,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#33,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#34,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#35,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#36,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#37,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#38,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#39,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#40,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#41,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#42,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#43,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#44,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#45,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#46,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#47,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#48,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#49,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#50,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#51,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#52,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#53,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#54,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#55,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#56,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#57,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#58,0,shp1,srv0000010
r0,t#r0#saturday#09:00:00#0#59,0,shp1,srv0000010
r1,t#r1#saturday#09:00:00#0#0,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#1,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#2,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#3,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#4,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#5,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#6,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#7,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#8,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#9,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#10,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#11,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#12,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#13,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#14,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#15,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#16,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#17,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#18,0,shp2,srv0000010
r1,t#r1#saturday#09:00:00#0#19,0,shp2,srv0000010
